X_nm,Y_nm,Z_display,Layer,Sampled_Reconstruction_Intensity_au,Source
9.137145712714211,9.561814877877325,7.9728956176239505,1,73.0,intensity-weighted sampled reconstruction pixel
8.16046677192187,9.888634700176816,7.960602735117406,1,9.0,intensity-weighted sampled reconstruction pixel
6.756992890524527,6.909281399234885,8.010063159956873,1,21.0,intensity-weighted sampled reconstruction pixel
6.970973104623521,8.530332171899545,7.8986327113871635,1,39.0,intensity-weighted sampled reconstruction pixel
8.572071657994027,6.746243731677122,7.784740051113961,1,9.0,intensity-weighted sampled reconstruction pixel
9.21608102430772,8.963428187232752,8.052617609006186,1,14.0,intensity-weighted sampled reconstruction pixel
5.914266828796238,7.526734569742906,7.941910281325882,1,0.0,intensity-weighted sampled reconstruction pixel
9.928239294665923,8.916619367450878,8.069614099420422,1,88.0,intensity-weighted sampled reconstruction pixel
10.11726623020199,9.163251689969478,7.819986806569964,1,0.0,intensity-weighted sampled reconstruction pixel
7.686759871508324,9.343361379459516,7.776337583435263,1,0.0,intensity-weighted sampled reconstruction pixel
6.959423756414391,6.740041772803217,7.884215354027234,1,97.0,intensity-weighted sampled reconstruction pixel
8.36411470039148,9.973128029199568,7.980011768577264,1,98.0,intensity-weighted sampled reconstruction pixel
10.157108478668537,7.309213758717855,7.951273108117495,1,69.0,intensity-weighted sampled reconstruction pixel
8.487630311915298,6.302591280359149,8.142739175425795,1,0.0,intensity-weighted sampled reconstruction pixel
8.391451328291275,8.525816058458672,7.9438053163286995,1,0.0,intensity-weighted sampled reconstruction pixel
7.701681979756104,7.87320713175338,8.014002942617417,1,100.0,intensity-weighted sampled reconstruction pixel
7.4377125053063695,9.591233810069948,8.043017172523408,1,0.0,intensity-weighted sampled reconstruction pixel
7.51349215624881,9.50137819061254,7.780042440157073,1,55.0,intensity-weighted sampled reconstruction pixel
7.8116187884941,7.6693274747002915,8.006961353349247,1,83.0,intensity-weighted sampled reconstruction pixel
8.949479216414007,10.184811611822497,7.928622379323466,1,9.0,intensity-weighted sampled reconstruction pixel
6.41878071258536,7.566497850312118,7.963788858734297,1,113.0,intensity-weighted sampled reconstruction pixel
6.406897441592889,8.389488893493688,7.816132203307815,1,55.0,intensity-weighted sampled reconstruction pixel
9.80391114311801,7.416934776444298,8.130097460198376,1,0.0,intensity-weighted sampled reconstruction pixel
8.63892959335073,10.079276454968053,8.20350595537192,1,9.0,intensity-weighted sampled reconstruction pixel
7.900179232726527,7.027140411147816,7.780243657489616,1,9.0,intensity-weighted sampled reconstruction pixel
8.099520135421786,6.358862844872312,8.04663147089322,1,54.0,intensity-weighted sampled reconstruction pixel
7.119935328077946,8.113436389594586,8.121368270952646,1,39.0,intensity-weighted sampled reconstruction pixel
8.395758033161759,10.47950475215889,7.901011490778949,1,0.0,intensity-weighted sampled reconstruction pixel
8.607819752841694,9.862252225410105,8.13227556903708,1,39.0,intensity-weighted sampled reconstruction pixel
8.773130198794815,9.25839060678189,8.060883323352499,1,39.0,intensity-weighted sampled reconstruction pixel
