atom_id,x_px,y_px,x_nm,y_nm,manual_atom_class,integrated_intensity,peak_height,local_background,local_normalized_intensity,overlay_to_peak_shift_px,nearest_neighbor_distance_px,local_pt_fraction,local_alternation_metric,smoothed_order_metric,spatial_region,lattice_i,lattice_j,parity_i_plus_j,lattice_fit_residual_px,expected_column_from_110,pt_probability_from_intensity,intensity_confidence,audited_column_label,display_label
328,128.90864021046215,756.8704905899411,1.4680739800531728,8.61960743431217,Pt-like,6199.0,174.0,0.0,1.2000774368405769,2.2059803284610315,20.58070808131707,0.472978737708658,0.6666666666666666,0.626869427007037,ordered-intermetallic,-25.0,25.0,0.0,1.0572993308443277,Pt-rich projected column,0.9991100528672456,0.9991100528672456,Pt-rich projected column,Pt-rich projected column
329,186.03241871485145,877.3632486898373,2.118627214713765,9.991837276024071,LM-like,4571.0,141.0,0.0,0.8943455292506359,2.210422782906675,20.337423819801923,0.531767453328558,0.6666666666666666,0.6233594242232541,ordered-intermetallic,-19.0,26.0,1.0,0.865284278457921,Pt+Ga mixed projected column,0.02101866960817275,0.9789813303918272,Pt+Ga mixed projected column,Pt+Ga mixed projected column
330,596.4135029486202,806.3994046484775,6.79224560589364,9.18366667712874,Pt-like,5010.0,143.0,14.0,0.974802996400428,2.2171222974934373,20.86949643679848,0.4699137594617681,0.6666666666666666,0.6255284811531117,ordered-intermetallic,-3.0,7.0,0.0,0.8867855875136581,Pt-rich projected column,0.2725057516994684,0.7274942483005316,uncertain intensity,uncertain intensity
331,931.2071079356668,510.4886788822946,10.60503720285126,5.813692126107716,Pt-like,4439.0,148.0,0.0,0.8654708520179372,2.2222484906476487,20.73291774084905,1.0,0.0,0.0002613461078234,Pt-rich,,,,,,,,,Pt-rich region
332,219.2647678570488,999.9606921291556,2.4970932895404765,11.38803629294378,Pt-like,4871.0,136.0,0.0,1.1024103202444269,2.2229445673920183,21.71543519839529,0.5615928652424952,0.5,0.5621411006216093,liquid-metal,,,,,,,,,amorphous liquid-metal
333,458.3094140053508,604.7260692197718,5.219449405533843,6.886913133455961,Pt-like,6149.0,188.0,0.0,1.1537667698658411,2.227160036224966,18.802048833593087,0.4766171094094031,0.6666666666666666,0.6287027814914092,ordered-intermetallic,-15.0,7.0,0.0,1.6315095105731647,Pt-rich projected column,0.9954030358643218,0.9954030358643218,Pt-rich projected column,Pt-rich projected column
334,784.2109163202351,693.5271015781589,8.930973433927791,7.898222265212882,Pt-like,6444.0,178.0,0.0,1.1884913316119514,2.2303011247101145,19.067882971773912,0.4708540925827352,0.6666666666666666,0.6285014754056371,ordered-intermetallic,2.0,-4.0,0.0,0.7848857484356889,Pt-rich projected column,0.9986573033253777,0.9986573033253777,Pt-rich projected column,Pt-rich projected column
335,166.50241405438504,565.2568157015774,1.8962100700946185,6.437418173245522,LM-like,4577.0,191.0,0.0,0.8115248226950355,2.230797307155201,19.235817959975183,0.5297182233851597,0.6666666666666666,0.6237644350216917,ordered-intermetallic,-29.0,18.0,1.0,1.6997538179872824,Pt+Ga mixed projected column,0.001130191624836784,0.9988698083751633,Pt+Ga mixed projected column,Pt+Ga mixed projected column
336,831.1449943865725,691.1841307848896,9.46548142869432,7.871539379938416,Pt-like,5807.0,172.0,0.0,1.024794846907262,2.2362623371122883,19.667853369760667,0.470410563614437,0.6666666666666666,0.6151110778110292,Pt-rich,,,,,,,,,Pt-rich region
337,357.91358718023423,414.2747621858848,4.076093143089024,4.717961480044016,LM-like,4117.0,175.0,9.0,0.9260008996851102,2.239661547620205,21.322949151293752,0.7238173591977697,0.6,0.4010087461094113,Pt-rich,,,,,,,,,Pt-rich region
